Nitrogen,Lead,pH,Trichloroacetic_acid,Ozone,Phosphorus,Monochloroacetic_acid,Nitrates,Chloride,Fluoride,Carbonates
2.8100000000000005,1.116,4.163,0.7090000000000001,0.5891,1.59582,9.08,10.950000000000001,17.0,1.094,116.00000000000001
2.59,1.237,3.987,0.929,0.5594,1.5973600000000001,11.72,11.5,7.1000000000000005,1.017,19.200000000000003
3.4700000000000006,1.017,4.141,0.841,0.5924,1.59824,10.4,10.840000000000002,26.900000000000002,1.171,138.0
3.03,0.841,4.152,0.984,0.588,1.59868,11.610000000000001,11.17,24.700000000000003,1.237,51.1
6.550000000000001,0.9730000000000001,4.2620000000000005,0.962,0.5781000000000001,1.59703,8.31,12.05,31.300000000000004,1.2810000000000001,141.3
2.2600000000000002,0.9730000000000001,4.1739999999999995,0.896,0.5979,1.595765,8.200000000000001,10.62,15.900000000000002,1.116,41.2
3.58,1.182,4.141,0.885,0.5946,1.5967,9.3,12.380000000000003,31.300000000000004,1.182,57.7
3.14,0.841,4.141,0.929,0.5858,1.593884,9.63,14.250000000000002,19.200000000000003,1.347,47.800000000000004
3.25,1.3250000000000002,4.1739999999999995,0.654,0.5946,1.5980640000000002,10.290000000000001,12.05,10.4,1.2040000000000002,33.5
3.4700000000000006,1.237,4.1080000000000005,0.742,0.6177,1.60044,12.27,11.39,19.200000000000003,1.578,37.900000000000006
2.1500000000000004,1.05,4.24,0.511,0.5660000000000001,1.5947200000000001,7.76,11.280000000000001,19.200000000000003,1.138,29.1
3.03,1.05,4.493,0.599,0.5539000000000001,1.5930700000000002,6.66,14.8,19.200000000000003,1.193,109.4
3.03,0.962,4.229000000000001,0.7090000000000001,0.5781000000000001,1.5942360000000002,8.200000000000001,12.490000000000002,20.3,1.116,40.1
2.59,1.017,3.9760000000000004,0.797,0.5638,1.594698,9.850000000000001,12.71,20.3,1.435,42.300000000000004
3.03,1.05,4.152,0.819,0.5946,1.5945220000000002,8.86,13.15,6.0,1.182,15.900000000000002
5.45,1.1600000000000001,4.13,0.8300000000000001,0.5748,1.599054,8.200000000000001,11.72,22.5,1.787,121.50000000000001
2.7,0.962,4.229000000000001,0.7090000000000001,0.5825,1.594742,7.1000000000000005,11.5,24.700000000000003,1.358,52.2
2.4800000000000004,0.8520000000000001,4.196,0.775,0.5946,1.594104,7.21,11.610000000000001,6.0,0.984,35.7
2.4800000000000004,1.2865,4.053000000000001,0.665,0.5979,1.5964800000000001,9.63,10.950000000000001,11.5,1.347,57.7
2.9200000000000004,0.918,4.284000000000001,0.654,0.5418000000000001,1.594654,7.540000000000001,12.71,17.0,1.215,28.000000000000004
2.2600000000000002,1.116,4.097,0.654,0.5858,1.595512,8.31,10.730000000000002,8.200000000000001,1.182,20.3
2.4800000000000004,0.742,4.471,0.8300000000000001,0.5715,1.596392,8.200000000000001,11.5,18.1,1.4020000000000001,22.5
3.14,1.138,4.218,0.522,0.5759,1.5932570000000001,7.76,14.360000000000001,21.400000000000002,1.226,44.5
2.4800000000000004,1.2205000000000001,4.1739999999999995,0.533,0.5858,1.5954570000000001,8.420000000000002,10.950000000000001,8.200000000000001,0.929,13.700000000000001
3.69,1.215,4.119,0.61,0.5979,1.597833,9.63,10.950000000000001,19.200000000000003,1.105,44.5
2.37,1.358,4.141,0.5,0.5836,1.5957320000000002,8.86,12.27,36.800000000000004,1.182,50.00000000000001
3.03,1.105,3.987,1.226,0.9257,1.59802,10.950000000000001,11.06,13.700000000000001,1.237,41.2
3.03,1.138,4.031000000000001,0.7530000000000001,0.5836,1.5965460000000002,9.190000000000001,10.950000000000001,25.8,1.138,103.9
2.37,1.061,4.196,0.522,0.5924,1.594918,8.75,12.05,14.8,1.094,34.6
2.4800000000000004,0.896,4.218,0.8740000000000001,0.5825,1.59263,8.64,15.46,20.3,1.468,42.300000000000004
3.69,1.215,4.119,0.61,0.5979,1.597833,9.63,10.950000000000001,19.200000000000003,1.105,44.5
7.1000000000000005,1.2040000000000002,4.207000000000001,0.61,0.6265000000000001,1.59824,9.08,11.610000000000001,6.0,1.259,12.600000000000001
2.37,0.808,4.0200000000000005,1.061,0.588,1.59802,12.05,10.840000000000002,11.5,1.479,26.900000000000002
2.1500000000000004,1.2315,4.229000000000001,0.61,0.5726,1.596205,8.86,10.730000000000002,30.200000000000003,1.061,61.00000000000001
2.59,1.237,3.987,0.929,0.5594,1.5973600000000001,11.72,11.5,7.1000000000000005,1.017,19.200000000000003
3.03,1.094,4.229000000000001,0.9950000000000001,0.5781000000000001,1.59901,11.39,10.840000000000002,18.1,1.182,44.5
3.4700000000000006,1.182,4.141,0.863,0.5968,1.5969200000000001,9.3,12.27,18.1,1.138,41.2
2.4800000000000004,0.9400000000000001,4.2620000000000005,0.676,0.5759,1.59505,7.21,11.610000000000001,12.600000000000001,1.314,28.000000000000004
2.8100000000000005,0.929,4.13,0.632,0.5715,1.5917720000000002,8.31,15.130000000000003,15.900000000000002,1.0830000000000002,26.900000000000002
3.25,1.27,4.152,0.764,0.7486,1.59901,10.07,10.4,6.0,1.1600000000000001,17.0
6.550000000000001,0.9730000000000001,4.2620000000000005,0.962,0.577,1.59703,8.31,12.05,32.400000000000006,1.292,142.4
2.1500000000000004,0.863,3.9980000000000007,0.9950000000000001,0.5627,1.594478,10.730000000000002,12.71,21.400000000000002,1.479,41.2
2.37,0.72,4.152,0.885,0.5594,1.594038,9.190000000000001,13.590000000000002,8.200000000000001,1.3800000000000001,17.0
3.14,1.2040000000000002,4.152,0.5,0.5847,1.5961500000000002,8.75,11.5,20.3,1.1600000000000001,32.400000000000006
4.24,0.962,4.086,1.05,0.6177,1.59769,11.5,13.480000000000002,8.200000000000001,1.5230000000000001,23.6
